Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,142.0,nan,13.182145215216137,13.182145215216137,1.0
24000,nan,159.54054054054055,nan,15.283786503044334,15.283786503044334,1.0
36000,nan,162.94736842105263,nan,14.982897451049404,14.982897451049404,1.0
48000,nan,182.06349206349208,nan,17.987304551260813,17.987304551260813,1.0
60000,nan,161.0,nan,15.35675952885602,15.35675952885602,1.0
72000,nan,161.48648648648648,nan,15.347299897992933,15.347299897992933,1.0
84000,nan,153.39743589743588,nan,14.485900084177652,14.485900084177652,1.0
96000,nan,159.37333333333333,nan,14.68933603922526,14.68933603922526,1.0
108000,nan,167.2112676056338,nan,16.369016848819356,16.369016848819356,1.0
120000,nan,160.5,nan,15.201353852813309,15.201353852813309,1.0
132000,nan,162.93243243243242,nan,15.264867660161611,15.264867660161611,1.0
144000,nan,151.63291139240508,nan,14.130382181722906,14.130382181722906,1.0
156000,nan,157.08,nan,15.062669461568197,15.062669461568197,1.0
